2016-06-04 08:36:15 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-04 08:36:15 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-04 08:36:15 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-04 08:36:15 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-08 17:33:34 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-08 17:33:34 Debug: command 'users' in plugin 'CakeDC/Users' was not aliased, conflicts with 'CakeDC/Users'
2016-06-08 17:33:34 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-08 17:33:34 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-08 17:33:34 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-09 08:50:07 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-09 08:50:07 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-09 08:50:07 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-09 08:50:07 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-09 08:56:22 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-09 08:56:22 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-09 08:56:22 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-09 08:56:22 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-09 11:18:38 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-09 11:18:38 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-09 11:18:38 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-09 11:18:38 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-10 15:55:13 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-10 15:55:13 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-10 15:55:13 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-10 15:55:13 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-11 11:03:51 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-11 11:03:51 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-11 11:03:51 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-11 11:03:51 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-06-18 17:03:39 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-06-18 17:03:39 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-18 17:03:39 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-06-18 17:03:39 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
